Month,Asian,white,black,Hispanic or Latino,Other race,States,Asian_s,white_s,black_s,Hispanic_s,other_s,overall
1,15.3,16.6,24.4,30,35.7,California,9.6,12.4,22.3,26.1,27.2,18.2
2,20,17.3,24.6,31.3,24.7,Texas,12.5,17.6,27.2,26.7,18.3,21.9
3,18.9,12.8,24.1,26.1,19.6,Floride,5.4,12.9,22.9,25.6,30,18.1
4,14.1,12.4,41.1,25.3,15,NewYork,5.6,12.6,23.9,26,20.6,16.2
5,17.9,14.9,33.2,30.4,20.7,Pennsylvania,10.5,14.5,18.6,16.5,24.1,15.4
6,14,16.9,19.2,26.5,31.2,Illinois,26.2,9.1,28.1,20.7,12.4,13.9
7,14.3,18.7,24.4,34.5,18.3,Ohio,5.1,12.5,28.1,21,24.3,15
8,10.4,11.8,18.5,21.4,18.8,Georgia,9.4,19.4,28.4,21.2,27.2,21.8
9,11.1,11.1,25,26.2,25,North Carolina,4.1,14.8,29.5,33.6,41.9,20.9
10,15.7,13.4,23.9,27.2,25.6,Michigan,3.2,14.5,26.5,26,20.2,16.9
11,17.3,19.2,27.3,28,30.4,,,,,,,
12,23.3,16.1,25,32.6,35.2,,,,,,,